drug_name,manufacturer,strength,yj_code,price,dosage_form,route_of_administration,generic_name
セレナール散１０％,アルフレッサファーマ,１０％１ｇ,1124013B1031,25.1,内用薬,経口,
セレナール錠５,アルフレッサファーマ,５ｍｇ１錠,1124013F1033,5.7,内用薬,経口,
セレナール錠１０,アルフレッサファーマ,１０ｍｇ１錠,1124013F2064,5.8,内用薬,経口,
セパゾン散１％,アルフレッサファーマ,１％１ｇ,1124014B1036,18.7,内用薬,経口,
セパゾン錠１,アルフレッサファーマ,１ｍｇ１錠,1124014F1038,5.7,内用薬,経口,
セパゾン錠２,アルフレッサファーマ,２ｍｇ１錠,1124014F2034,5.8,内用薬,経口,
メンドンカプセル７．５ｍｇ,ヴィアトリス製薬,７．５ｍｇ１カプセル,1124015M2038,10.1,内用薬,経口,
セルシン散１％,武田テバ薬品,１％１ｇ,1124017B1129,10.7,内用薬,経口,
ジアゼパム散１％「アメル」,共和薬品工業,１％１ｇ,1124017B1137,6.3,内用薬,経口,
ホリゾン散１％,丸石製薬,１％１ｇ,1124017B1145,11.5,内用薬,経口,
ジアゼパム２ｍｇ錠,不明,２ｍｇ１錠,1124017F2011,5.7,内用薬,経口,
２ｍｇセルシン錠,武田テバ薬品,２ｍｇ１錠,1124017F2135,6.0,内用薬,経口,
ホリゾン錠２ｍｇ,丸石製薬,２ｍｇ１錠,1124017F2151,6.0,内用薬,経口,
ジアゼパム５ｍｇ錠,不明,５ｍｇ１錠,1124017F4014,5.8,内用薬,経口,
５ｍｇセルシン錠,武田テバ薬品,５ｍｇ１錠,1124017F4049,9.4,内用薬,経口,
ホリゾン錠５ｍｇ,丸石製薬,５ｍｇ１錠,1124017F4162,9.4,内用薬,経口,
１０ｍｇセルシン錠,武田テバ薬品,１０ｍｇ１錠,1124017F5037,12.1,内用薬,経口,
ジアゼパム錠１０ｍｇ「ツルハラ」,鶴原製薬,１０ｍｇ１錠,1124017F5096,5.7,内用薬,経口,
セルシンシロップ０．１％,武田テバ薬品,０．１％１ｍＬ,1124017Q1032,12.6,内用薬,経口,
レキソタン細粒１％,サンドファーマ,１％１ｇ,1124020C1045,15.9,内用薬,経口,
ブロマゼパム細粒１％「サンド」,サンド,１％１ｇ,1124020C1061,16.3,内用薬,経口,
レキソタン錠１,サンドファーマ,１ｍｇ１錠,1124020F1025,5.7,内用薬,経口,
ブロマゼパム錠１ｍｇ「サンド」,サンド,１ｍｇ１錠,1124020F1041,5.7,内用薬,経口,
レキソタン錠２,サンドファーマ,２ｍｇ１錠,1124020F2030,5.9,内用薬,経口,
ブロマゼパム錠２ｍｇ「サンド」,サンド,２ｍｇ１錠,1124020F2056,5.7,内用薬,経口,
ブロマゼパム錠３ｍｇ「サンド」,サンド,３ｍｇ１錠,1124020F3044,5.9,内用薬,経口,
ブロマゼパム５ｍｇ錠,不明,５ｍｇ１錠,1124020F4016,5.9,内用薬,経口,
レキソタン錠５,サンドファーマ,５ｍｇ１錠,1124020F4032,7.8,内用薬,経口,
メダゼパム錠２（ツルハラ）,鶴原製薬,２ｍｇ１錠,1124021F1046,8.6,内用薬,経口,
レスミット錠２,共和薬品工業,２ｍｇ１錠,1124021F1054,5.7,内用薬,経口,
メダゼパム錠５（ツルハラ）,鶴原製薬,５ｍｇ１錠,1124021F2123,5.7,内用薬,経口,
レスミット錠５,共和薬品工業,５ｍｇ１錠,1124021F2166,5.7,内用薬,経口,
ワイパックス錠０．５,ファイザー,０．５ｍｇ１錠,1124022F1067,5.9,内用薬,経口,
ロラゼパム錠０．５ｍｇ「サワイ」,沢井製薬,０．５ｍｇ１錠,1124022F1083,5.1,内用薬,経口,
ロラゼパム１ｍｇ錠,不明,１ｍｇ１錠,1124022F2012,5.7,内用薬,経口,
ワイパックス錠１．０,ファイザー,１ｍｇ１錠,1124022F2071,6.4,内用薬,経口,
アルプラゾラム０．４ｍｇ錠,不明,０．４ｍｇ１錠,1124023F1010,5.7,内用薬,経口,
コンスタン０．４ｍｇ錠,武田テバ薬品,０．４ｍｇ１錠,1124023F1029,5.9,内用薬,経口,
ソラナックス０．４ｍｇ錠,ヴィアトリス製薬,０．４ｍｇ１錠,1124023F1037,5.9,内用薬,経口,
アルプラゾラム０．８ｍｇ錠,不明,０．８ｍｇ１錠,1124023F2017,5.9,内用薬,経口,
コンスタン０．８ｍｇ錠,武田テバ薬品,０．８ｍｇ１錠,1124023F2025,8.6,内用薬,経口,
ソラナックス０．８ｍｇ錠,ヴィアトリス製薬,０．８ｍｇ１錠,1124023F2033,8.6,内用薬,経口,
アルプラゾラム錠０．８ｍｇ「アメル」,共和薬品工業,０．８ｍｇ１錠,1124023F2084,8.9,内用薬,経口,
コレミナール細粒１％,沢井製薬,１％１ｇ,1124024C1035,10.8,内用薬,経口,
コレミナール錠４ｍｇ,沢井製薬,４ｍｇ１錠,1124024F1031,6.6,内用薬,経口,
メレックス細粒０．１％,アルフレッサファーマ,０．１％１ｇ,1124025C1030,11.8,内用薬,経口,
メレックス錠０．５ｍｇ,アルフレッサファーマ,０．５ｍｇ１錠,1124025F1028,5.9,内用薬,経口,
メレックス錠１ｍｇ,アルフレッサファーマ,１ｍｇ１錠,1124025F2024,9.2,内用薬,経口,
トフィソパム細粒１０％「ツルハラ」,鶴原製薬,１０％１ｇ,1124026C1115,10.4,内用薬,経口,
トフィソパム５０ｍｇ錠,不明,５０ｍｇ１錠,1124026F1014,5.9,内用薬,経口,
グランダキシン錠５０,持田製薬,５０ｍｇ１錠,1124026F1022,9.1,内用薬,経口,
クロルジアゼポキシド散,不明,１％１ｇ,1124028B1011,7.5,内用薬,経口,
クロルジアゼポキシド散１％「ツルハラ」,鶴原製薬,１％１ｇ,1124028B1062,11.0,内用薬,経口,
クロルジアゼポキシド散,不明,１０％１ｇ,1124028B2018,32.8,内用薬,経口,
クロルジアゼポキシド錠,不明,５ｍｇ１錠,1124028F1013,9.8,内用薬,経口,
クロルジアゼポキシド錠,不明,１０ｍｇ１錠,1124028F2010,9.8,内用薬,経口,
メイラックス細粒１％,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,１％１ｇ,1124029C1038,138.2,内用薬,経口,
ロフラゼプ酸エチル１ｍｇ錠,不明,１ｍｇ１錠,1124029F1018,5.9,内用薬,経口,
メイラックス錠１ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,１ｍｇ１錠,1124029F1026,10.4,内用薬,経口,
ロフラゼプ酸エチル２ｍｇ錠,不明,２ｍｇ１錠,1124029F2014,9.3,内用薬,経口,
メイラックス錠２ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,２ｍｇ１錠,1124029F2022,16.6,内用薬,経口,
クアゼパム１５ｍｇ錠,不明,１５ｍｇ１錠,1124030F1010,23.1,内用薬,経口,
ドラール錠１５,久光製薬,１５ｍｇ１錠,1124030F1029,48.3,内用薬,経口,
クアゼパム錠１５ｍｇ「ＭＮＰ」,日新製薬（山形）,１５ｍｇ１錠,1124030F1037,30.2,内用薬,経口,
クアゼパム錠１５ｍｇ「トーワ」,東和薬品,１５ｍｇ１錠,1124030F1061,30.2,内用薬,経口,
クアゼパム錠１５ｍｇ「日医工」,日医工,１５ｍｇ１錠,1124030F1070,30.2,内用薬,経口,
クアゼパム２０ｍｇ錠,不明,２０ｍｇ１錠,1124030F2017,28.9,内用薬,経口,
ドラール錠２０,久光製薬,２０ｍｇ１錠,1124030F2025,59.8,内用薬,経口,
クアゼパム錠２０ｍｇ「ＭＮＰ」,日新製薬（山形）,２０ｍｇ１錠,1124030F2033,35.7,内用薬,経口,
クアゼパム錠２０ｍｇ「トーワ」,東和薬品,２０ｍｇ１錠,1124030F2050,35.7,内用薬,経口,
クアゼパム錠２０ｍｇ「日医工」,日医工,２０ｍｇ１錠,1124030F2084,35.7,内用薬,経口,
アモバルビタール,不明,１ｇ,1125001X1017,39.5,内用薬,経口,
バルビタール,不明,１ｇ,1125002X1011,10.0,内用薬,経口,
フェノバルビタール散１０％,不明,１０％１ｇ,1125003B2015,7.3,内用薬,経口,
フェノバール散１０％,藤永製薬,１０％１ｇ,1125003B2031,7.5,内用薬,経口,
フェノバルビタール散１０％「マルイシ」,丸石製薬,１０％１ｇ,1125003B2139,7.5,内用薬,経口,
フェノバルビタール散１０％「シオエ」,シオエ製薬,１０％１ｇ,1125003B2163,7.5,内用薬,経口,
フェノバルビタール,不明,１ｇ,1125003X1016,37.4,内用薬,経口,
フェノバルビタール「ホエイ」原末,ヴィアトリス・ヘルスケア,１ｇ,1125003X1164,46.3,内用薬,経口,
フェノバール錠３０ｍｇ,藤永製薬,３０ｍｇ１錠,1125004F1023,7.0,内用薬,経口,
フェノバールエリキシル０．４％,藤永製薬,０．４％１ｍＬ,1125004S1030,2.8,内用薬,経口,
ラボナ錠５０ｍｇ,田辺三菱製薬,５０ｍｇ１錠,1125006F1030,8.9,内用薬,経口,
臭化カリウム,不明,１０ｇ,1126001X1014,82.6,内用薬,経口,
臭化ナトリウム,不明,１０ｇ,1126002X1019,83.5,内用薬,経口,
トリクロリールシロップ１０％,アルフレッサファーマ,１０％１ｍＬ,1129004Q1031,10.2,内用薬,経口,
リスミー錠１ｍｇ,共和薬品工業,１ｍｇ１錠,1129006F1021,11.0,内用薬,経口,
リスミー錠２ｍｇ,共和薬品工業,２ｍｇ１錠,1129006F2028,18.1,内用薬,経口,
ゾピクロン７．５ｍｇ錠,不明,７．５ｍｇ１錠,1129007F1018,6.5,内用薬,経口,
アモバン錠７．５,サノフィ,７．５ｍｇ１錠,1129007F1026,12.3,内用薬,経口,
ゾピクロン１０ｍｇ錠,不明,１０ｍｇ１錠,1129007F2014,7.3,内用薬,経口,
アモバン錠１０,サノフィ,１０ｍｇ１錠,1129007F2022,13.7,内用薬,経口,
タンドスピロンクエン酸塩５ｍｇ錠,不明,５ｍｇ１錠,1129008F1012,5.9,内用薬,経口,
セディール錠５ｍｇ,住友ファーマ,５ｍｇ１錠,1129008F1039,9.7,内用薬,経口,
タンドスピロンクエン酸塩１０ｍｇ錠,不明,１０ｍｇ１錠,1129008F2019,10.1,内用薬,経口,
セディール錠１０ｍｇ,住友ファーマ,１０ｍｇ１錠,1129008F2035,17.2,内用薬,経口,
タンドスピロンクエン酸塩２０ｍｇ錠,不明,２０ｍｇ１錠,1129008F3015,19.5,内用薬,経口,
セディール錠２０ｍｇ,住友ファーマ,２０ｍｇ１錠,1129008F3023,30.1,内用薬,経口,
ゾルピデム酒石酸塩５ｍｇ錠,不明,５ｍｇ１錠,1129009F1017,10.1,内用薬,経口,
マイスリー錠５ｍｇ,アステラス製薬,５ｍｇ１錠,1129009F1025,20.6,内用薬,経口,
ゾルピデム酒石酸塩錠５ｍｇ「日医工」,日医工,５ｍｇ１錠,1129009F1297,11.0,内用薬,経口,
ゾルピデム酒石酸塩１０ｍｇ錠,不明,１０ｍｇ１錠,1129009F2013,10.1,内用薬,経口,
マイスリー錠１０ｍｇ,アステラス製薬,１０ｍｇ１錠,1129009F2021,31.0,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「ＡＦＰ」,アルフレッサファーマ,１０ｍｇ１錠,1129009F2048,15.0,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「ＤＳＥＰ」,第一三共エスファ,１０ｍｇ１錠,1129009F2064,12.3,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「ＪＧ」,日本ジェネリック,１０ｍｇ１錠,1129009F2110,14.2,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「ＴＣＫ」,辰巳化学,１０ｍｇ１錠,1129009F2161,12.3,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「ＹＤ」,陽進堂,１０ｍｇ１錠,1129009F2170,12.3,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「ＺＥ」,全星薬品工業,１０ｍｇ１錠,1129009F2188,12.3,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「オーハラ」,大原薬品工業,１０ｍｇ１錠,1129009F2218,12.3,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「ケミファ」,日本ケミファ,１０ｍｇ１錠,1129009F2234,15.0,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「サワイ」,沢井製薬,１０ｍｇ１錠,1129009F2242,12.3,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「タカタ」,高田製薬,１０ｍｇ１錠,1129009F2269,12.3,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「トーワ」,東和薬品,１０ｍｇ１錠,1129009F2285,14.2,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「日医工」,日医工,１０ｍｇ１錠,1129009F2293,15.0,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「日新」,日新製薬（山形）,１０ｍｇ１錠,1129009F2307,12.3,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,１０ｍｇ１錠,1129009F2331,14.2,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「ＫＭＰ」,共創未来ファーマ,１０ｍｇ１錠,1129009F2358,12.3,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「ＮＰＩ」,東洋カプセル,１０ｍｇ１錠,1129009F2366,15.0,内用薬,経口,
ゾルピデム酒石酸塩錠１０ｍｇ「ＮＩＧ」,日医工岐阜工場,１０ｍｇ１錠,1129009F2374,14.2,内用薬,経口,
ゾルピデム酒石酸塩５ｍｇ口腔内崩壊錠,不明,５ｍｇ１錠,1129009F3010,10.1,内用薬,経口,
ゾルピデム酒石酸塩ＯＤフィルム５ｍｇ「モチダ」,救急薬品工業,５ｍｇ１錠,1129009F3052,13.8,内用薬,経口,
ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「日医工」,日医工,５ｍｇ１錠,1129009F3079,11.0,内用薬,経口,
ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「サワイ」,沢井製薬,１０ｍｇ１錠,1129009F4040,12.3,内用薬,経口,
ゾルピデム酒石酸塩ＯＤフィルム１０ｍｇ「モチダ」,救急薬品工業,１０ｍｇ１錠,1129009F4059,23.4,内用薬,経口,
ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「トーワ」,東和薬品,１０ｍｇ１錠,1129009F4067,14.2,内用薬,経口,
ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「日医工」,日医工,１０ｍｇ１錠,1129009F4075,15.0,内用薬,経口,
ゾルピデム酒石酸塩内用液５ｍｇ「タカタ」,高田製薬,５ｍｇ１ｍＬ１包,1129009S1023,33.4,内用薬,経口,
ゾルピデム酒石酸塩内用液１０ｍｇ「タカタ」,高田製薬,１０ｍｇ２ｍＬ１包,1129009S2020,40.4,内用薬,経口,
エスゾピクロン１ｍｇ錠,不明,１ｍｇ１錠,1129010F1010,8.9,内用薬,経口,
ルネスタ錠１ｍｇ,エーザイ,１ｍｇ１錠,1129010F1028,32.6,内用薬,経口,
エスゾピクロン錠１ｍｇ「ＫＭＰ」,共創未来ファーマ,１ｍｇ１錠,1129010F1044,10.1,内用薬,経口,
エスゾピクロン錠１ｍｇ「ＮＰＩ」,日本薬品工業,１ｍｇ１錠,1129010F1052,10.1,内用薬,経口,
エスゾピクロン錠１ｍｇ「ＹＤ」,陽進堂,１ｍｇ１錠,1129010F1079,10.1,内用薬,経口,
エスゾピクロン錠１ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,１ｍｇ１錠,1129010F1150,10.1,内用薬,経口,
エスゾピクロン２ｍｇ錠,不明,２ｍｇ１錠,1129010F2016,14.4,内用薬,経口,
ルネスタ錠２ｍｇ,エーザイ,２ｍｇ１錠,1129010F2024,52.8,内用薬,経口,
エスゾピクロン錠２ｍｇ「ＫＭＰ」,共創未来ファーマ,２ｍｇ１錠,1129010F2040,16.4,内用薬,経口,
エスゾピクロン錠２ｍｇ「ＮＰＩ」,日本薬品工業,２ｍｇ１錠,1129010F2059,16.4,内用薬,経口,
エスゾピクロン錠２ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,２ｍｇ１錠,1129010F2156,16.4,内用薬,経口,
エスゾピクロン３ｍｇ錠,不明,３ｍｇ１錠,1129010F3012,17.7,内用薬,経口,
ルネスタ錠３ｍｇ,エーザイ,３ｍｇ１錠,1129010F3020,63.7,内用薬,経口,
エスゾピクロン錠３ｍｇ「ＫＭＰ」,共創未来ファーマ,３ｍｇ１錠,1129010F3047,20.2,内用薬,経口,
エスゾピクロン錠３ｍｇ「ＮＰＩ」,日本薬品工業,３ｍｇ１錠,1129010F3055,20.2,内用薬,経口,
エスゾピクロン錠３ｍｇ「ＹＤ」,陽進堂,３ｍｇ１錠,1129010F3071,21.4,内用薬,経口,
エスゾピクロン錠３ｍｇ「アメル」,共和薬品工業,３ｍｇ１錠,1129010F3080,20.2,内用薬,経口,
エスゾピクロン錠３ｍｇ「杏林」,キョーリンリメディオ,３ｍｇ１錠,1129010F3098,20.2,内用薬,経口,
エスゾピクロン錠３ｍｇ「トーワ」,東和薬品,３ｍｇ１錠,1129010F3128,20.2,内用薬,経口,
エスゾピクロン錠３ｍｇ「日新」,日新製薬（山形）,３ｍｇ１錠,1129010F3136,20.2,内用薬,経口,
エスゾピクロン錠３ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,３ｍｇ１錠,1129010F3152,20.2,内用薬,経口,
クランポール末,住友ファーマ,１ｇ,1131001A1038,126.6,内用薬,経口,
クランポール錠２００ｍｇ,住友ファーマ,２００ｍｇ１錠,1131001F1035,42.9,内用薬,経口,
アクセノン末,住友ファーマ,１ｇ,1132001A1035,201.2,内用薬,経口,
フェニトイン散,不明,１０％１ｇ,1132002B1019,12.1,内用薬,経口,
フェニトイン錠,不明,２５ｍｇ１錠,1132002F1010,11.9,内用薬,経口,
アレビアチン錠２５ｍｇ,住友ファーマ,２５ｍｇ１錠,1132002F1037,12.1,内用薬,経口,
フェニトイン錠,不明,１００ｍｇ１錠,1132002F2017,12.8,内用薬,経口,
アレビアチン錠１００ｍｇ,住友ファーマ,１００ｍｇ１錠,1132002F2041,12.9,内用薬,経口,
ミノアレ散６６．７％,日医工,６６．７％１ｇ,1133002B1032,36.2,内用薬,経口,
プリミドン細粒９９．５％「日医工」,日医工,９９．５％１ｇ,1135002C1059,55.7,内用薬,経口,
プリミドン錠２５０ｍｇ「日医工」,日医工,２５０ｍｇ１錠,1135002F1055,17.3,内用薬,経口,
オスポロット錠５０ｍｇ,共和薬品工業,５０ｍｇ１錠,1137001F1039,12.5,内用薬,経口,
オスポロット錠２００ｍｇ,共和薬品工業,２００ｍｇ１錠,1137001F2035,41.1,内用薬,経口,
エピレオプチマル散５０％,エーザイ,５０％１ｇ,1139001B1031,27.9,内用薬,経口,
ザロンチンシロップ５％,ファイザー,５％１ｍＬ,1139001Q1042,6.7,内用薬,経口,
カルバマゼピン細粒５０％「アメル」,共和薬品工業,５０％１ｇ,1139002C1066,22.2,内用薬,経口,
テグレトール細粒５０％,サンファーマ,５０％１ｇ,1139002C1082,22.2,内用薬,経口,
カルバマゼピン細粒５０％「フジナガ」,藤永製薬,５０％１ｇ,1139002C1090,22.2,内用薬,経口,
テグレトール錠２００ｍｇ,サンファーマ,２００ｍｇ１錠,1139002F1062,8.2,内用薬,経口,
カルバマゼピン錠２００ｍｇ「アメル」,共和薬品工業,２００ｍｇ１錠,1139002F1070,10.0,内用薬,経口,
カルバマゼピン錠２００ｍｇ「フジナガ」,藤永製薬,２００ｍｇ１錠,1139002F1100,8.3,内用薬,経口,
カルバマゼピン１００ｍｇ錠,不明,１００ｍｇ１錠,1139002F2018,5.7,内用薬,経口,
テグレトール錠１００ｍｇ,サンファーマ,１００ｍｇ１錠,1139002F2026,5.9,内用薬,経口,
リボトリール細粒０．１％,太陽ファルマ,０．１％１ｇ,1139003C1044,9.1,内用薬,経口,
ランドセン細粒０．１％,住友ファーマ,０．１％１ｇ,1139003C1052,9.0,内用薬,経口,
リボトリール細粒０．５％,太陽ファルマ,０．５％１ｇ,1139003C2040,37.3,内用薬,経口,
ランドセン細粒０．５％,住友ファーマ,０．５％１ｇ,1139003C2059,35.5,内用薬,経口,
リボトリール錠０．５ｍｇ,太陽ファルマ,０．５ｍｇ１錠,1139003F1040,9.3,内用薬,経口,
ランドセン錠０．５ｍｇ,住友ファーマ,０．５ｍｇ１錠,1139003F1059,9.3,内用薬,経口,
リボトリール錠１ｍｇ,太陽ファルマ,１ｍｇ１錠,1139003F2047,10.1,内用薬,経口,
ランドセン錠１ｍｇ,住友ファーマ,１ｍｇ１錠,1139003F2055,10.1,内用薬,経口,
リボトリール錠２ｍｇ,太陽ファルマ,２ｍｇ１錠,1139003F3043,14.9,内用薬,経口,
ランドセン錠２ｍｇ,住友ファーマ,２ｍｇ１錠,1139003F3051,15.8,内用薬,経口,
バルプロ酸ナトリウム細粒２０％「ＥＭＥＣ」,日医工,２０％１ｇ,1139004C1049,18.1,内用薬,経口,
デパケン細粒２０％,協和キリン,２０％１ｇ,1139004C1057,14.4,内用薬,経口,
デパケン細粒４０％,協和キリン,４０％１ｇ,1139004C2061,20.2,内用薬,経口,
バルプロ酸ナトリウム細粒４０％「ＥＭＥＣ」,日医工,４０％１ｇ,1139004C2070,25.9,内用薬,経口,
セレニカＲ顆粒４０％,興和,４０％１ｇ,1139004D1052,36.7,内用薬,経口,
バルプロ酸Ｎａ徐放顆粒４０％「フジナガ」,藤永製薬,４０％１ｇ,1139004D1087,28.5,内用薬,経口,
バルプロ酸ナトリウム１００ｍｇ錠,不明,１００ｍｇ１錠,1139004F1010,9.3,内用薬,経口,
デパケン錠１００ｍｇ,協和キリン,１００ｍｇ１錠,1139004F1096,10.1,内用薬,経口,
バルプロ酸Ｎａ錠１００ｍｇ「フジナガ」,藤永製薬,１００ｍｇ１錠,1139004F1118,10.1,内用薬,経口,
バルプロ酸ナトリウム錠２００ｍｇ「アメル」,共和薬品工業,２００ｍｇ１錠,1139004F2165,14.3,内用薬,経口,
デパケン錠２００ｍｇ,協和キリン,２００ｍｇ１錠,1139004F2173,10.1,内用薬,経口,
バルプロ酸Ｎａ錠２００ｍｇ「フジナガ」,藤永製薬,２００ｍｇ１錠,1139004F2190,11.5,内用薬,経口,
バルプロ酸ナトリウム錠２００ｍｇ「ＤＳＰ」,住友ファーマ,２００ｍｇ１錠,1139004F2203,14.3,内用薬,経口,
バルプロ酸ナトリウム１００ｍｇ徐放錠,不明,１００ｍｇ１錠,1139004G1016,6.9,内用薬,経口,
デパケンＲ錠１００ｍｇ,協和キリン,１００ｍｇ１錠,1139004G1040,9.5,内用薬,経口,
バルプロ酸ナトリウムＳＲ錠１００ｍｇ「アメル」,共和薬品工業,１００ｍｇ１錠,1139004G1067,9.7,内用薬,経口,
バルプロ酸ナトリウム２００ｍｇ徐放錠,不明,２００ｍｇ１錠,1139004G2012,10.1,内用薬,経口,
セレニカＲ錠２００ｍｇ,興和,２００ｍｇ１錠,1139004G2039,11.3,内用薬,経口,
バルプロ酸ナトリウムＳＲ錠２００ｍｇ「アメル」,共和薬品工業,２００ｍｇ１錠,1139004G2055,12.3,内用薬,経口,
デパケンＲ錠２００ｍｇ,協和キリン,２００ｍｇ１錠,1139004G2063,11.6,内用薬,経口,
セレニカＲ錠４００ｍｇ,興和,４００ｍｇ１錠,1139004G3027,18.1,内用薬,経口,
バルプロ酸ナトリウム５％シロップ,不明,５％１ｍＬ,1139004Q1011,6.8,内用薬,経口,
デパケンシロップ５％,協和キリン,５％１ｍＬ,1139004Q1100,7.7,内用薬,経口,
バルプロ酸ナトリウムシロップ５％「日医工」,日医工,５％１ｍＬ,1139004Q1119,9.3,内用薬,経口,
